plan_tier,contract_type,auto_renew,tenure_months,seat_count,monthly_fee,discount_flag,logins_30d,active_days_30d,feature_usage_score,avg_session_minutes,onboarding_completed,time_to_first_value_days,tickets_30d,payment_failures_30d,nps_proxy,cohort_month,churn_next_30d
pro,monthly,1,11,168,75.3,0,16,14,0.427,5.91,1,8.8,3,0,-15.4,12,0
basic,monthly,1,16,91,19.57,1,16,16,0.205,10.41,1,16.1,6,3,5.2,22,1
pro,annual,0,41,139,84.38,0,5,11,0.634,12.63,0,19.2,1,0,68.3,12,0
pro,monthly,0,4,192,55.49,1,21,15,0.696,18.98,1,0.0,3,1,47.5,22,0
basic,monthly,1,5,10,26.06,0,11,13,0.659,11.18,1,11.3,3,0,53.4,5,0
enterprise,monthly,0,14,22,145.08,1,17,22,0.961,18.42,1,0.1,2,2,62.0,0,0
pro,annual,1,28,184,61.09,0,12,6,0.823,12.02,1,2.6,3,0,29.8,9,0
pro,monthly,1,38,114,62.41,1,8,17,0.849,12.07,1,9.9,4,2,39.5,15,0
basic,annual,0,27,123,25.41,1,11,14,0.371,5.19,1,11.4,6,3,19.9,2,0
basic,monthly,1,23,68,17.18,0,9,13,0.75,15.95,1,12.2,2,1,64.4,12,0
basic,monthly,1,41,165,31.55,0,12,8,0.619,12.13,1,11.2,3,1,15.2,9,0
enterprise,monthly,1,8,129,176.69,0,17,18,0.518,11.09,1,6.9,3,0,49.4,17,0
pro,monthly,0,43,52,62.86,0,7,7,0.864,12.32,1,7.9,1,1,51.7,14,0
pro,annual,0,15,130,66.72,0,11,18,0.513,11.78,0,23.4,1,0,41.2,5,0
basic,monthly,1,13,1,9.49,0,11,10,0.365,8.06,1,15.9,6,2,-1.8,19,1
basic,monthly,0,45,48,18.78,0,5,17,0.829,14.32,1,6.4,6,3,46.7,3,0
pro,monthly,1,31,41,62.81,0,11,10,0.715,9.42,1,5.3,2,1,21.8,22,1
basic,monthly,1,20,157,31.0,0,17,10,0.364,9.78,0,22.1,1,1,31.8,18,0
pro,monthly,1,15,147,61.72,0,12,12,0.575,12.94,1,6.4,2,1,48.2,12,0
pro,monthly,1,21,19,46.9,0,14,10,0.862,17.39,1,11.1,2,0,51.3,11,0
pro,annual,0,37,181,56.66,0,5,10,0.455,11.36,0,13.9,3,1,26.7,13,0
basic,annual,1,7,163,30.03,0,13,20,0.526,15.05,0,19.3,2,1,52.7,5,0
enterprise,annual,1,8,87,183.84,0,18,12,0.726,12.32,1,15.7,3,0,16.0,1,0
pro,monthly,1,14,43,40.44,0,17,14,1.0,11.19,1,10.4,5,0,23.8,9,0
pro,monthly,0,23,84,63.61,0,8,18,0.409,16.7,1,19.6,3,1,66.5,11,0
basic,monthly,0,39,118,17.64,0,7,13,0.297,9.43,1,8.0,6,1,-18.3,3,1
basic,monthly,1,10,126,22.89,0,15,18,0.449,13.54,1,6.5,4,1,,7,0
basic,monthly,0,37,70,18.03,1,11,15,0.436,8.76,1,14.4,3,3,19.8,22,0
basic,monthly,1,43,21,23.18,0,7,16,0.558,12.91,1,10.7,2,0,10.7,13,1
pro,monthly,1,20,122,66.32,0,7,11,0.587,12.55,1,8.8,2,1,24.7,13,0
pro,monthly,1,46,141,60.69,1,11,15,0.824,12.94,1,10.2,7,0,-5.6,5,0
enterprise,annual,1,42,54,189.02,1,6,19,0.767,18.69,1,0.3,2,2,61.4,11,0
basic,monthly,1,38,128,25.29,0,3,9,0.378,11.55,0,4.9,1,1,26.1,6,0
basic,monthly,0,18,114,13.44,0,10,14,0.509,9.94,1,16.3,2,2,,16,0
basic,monthly,1,14,100,17.42,0,13,10,0.503,15.74,1,3.4,5,2,1.4,13,1
basic,monthly,1,41,2,23.07,0,5,15,0.757,7.11,1,8.9,1,1,61.9,1,0
basic,annual,1,21,62,20.79,0,10,6,0.707,7.87,0,17.0,1,0,57.4,9,0
basic,monthly,1,1,75,23.84,0,19,13,0.68,14.72,1,,1,3,51.6,3,0
basic,annual,1,34,166,32.02,0,9,16,0.421,11.21,1,16.7,1,0,53.7,0,0
pro,annual,1,16,165,58.79,0,7,11,0.728,10.73,1,12.0,1,1,55.9,22,0
basic,monthly,0,44,174,15.63,1,9,5,0.344,11.24,1,13.4,3,5,33.0,5,1
pro,monthly,1,41,93,49.35,0,7,9,0.789,15.93,1,11.4,3,1,16.0,11,0
pro,monthly,1,5,66,44.88,1,14,10,0.891,10.17,1,1.8,3,2,24.9,7,1
basic,monthly,1,43,100,32.66,0,10,18,0.176,8.79,0,13.5,6,2,-18.5,23,1
pro,monthly,1,45,158,52.11,1,5,14,0.657,12.06,1,29.6,2,2,24.7,18,0
pro,annual,1,36,124,56.59,0,12,16,0.656,12.86,1,8.9,2,0,46.2,12,0
basic,monthly,1,13,120,26.53,0,17,9,0.716,14.23,1,17.3,1,2,52.6,23,0
basic,annual,1,32,87,26.92,0,11,12,0.447,4.78,1,5.1,4,1,41.4,10,0
pro,monthly,1,41,139,58.32,0,11,19,0.564,12.99,1,12.4,3,0,41.6,6,0
basic,annual,1,39,173,22.15,0,11,16,0.582,5.77,1,10.5,3,0,21.8,4,0
basic,monthly,0,20,133,23.19,0,12,11,0.663,11.87,1,8.8,3,1,36.4,0,0
basic,monthly,0,33,81,21.8,0,4,14,0.591,8.38,1,22.6,3,0,44.2,11,0
pro,monthly,1,18,168,52.29,1,13,8,0.832,13.58,0,23.2,2,0,59.5,0,0
pro,monthly,1,12,188,57.21,0,24,12,0.798,14.78,0,13.8,3,3,41.8,8,1
pro,annual,1,32,159,61.81,0,7,4,0.581,11.65,1,9.5,5,1,1.0,4,0
pro,monthly,0,22,175,36.96,1,19,14,0.678,10.11,1,5.7,3,2,34.8,3,0
